,publish_date,headline_category,headline_text,Label
0,20010720,entertainment.hindi.bollywood.news,Doctors worried over Bharat Shah's poor health,0
1,20010722,unknown,Lottery prize yields pittance; says CAG report,2
2,20010723,city.bengaluru,MES refuses to bury border hatchet,0
3,20010729,india,CPM; CPI flay move to requisition TN IPS officers,1
4,20010805,city.chandigarh,Commemorative Stamp on Shri Dwarka Prasad Mishra,0
5,20010812,city.ahmedabad,No Janmashtami fair in Bhuj this year,0
6,20010812,city.bengaluru,Central team report today: Venkaiah,0
7,20010813,city.bengaluru,CPM pooh-poohs ministers' visit,0
8,20010814,city.delhi,HC open to direct blood donation,0
9,20010818,business.india-business,Kinetic in venture for auto ancillaries,0
10,20010820,city.ahmedabad,University toys with disaster mgmt course,0
11,20010823,city.hyderabad,Clay idols do brisk business,0
12,20010901,city.lucknow,Rivals clash on campus,0
13,20010903,bombay-times,Wine; dine 'n'meet the stars,0
14,20010904,unknown,Mobile users feel the pinch of WiLL testing,2
15,20010905,business.india-business,IPO to infuse new life in ABCL,0
16,20010914,city.kolkata,CBI files affidavit on Latvians' release,0
17,20010919,hyderabad-times,Of Dreams and reality,0
18,20010920,city.delhi,IB fears Advani; Priyanka on hit-list,0
19,20010929,unknown,Indian colts leave for Australia,2
20,20011005,city.hyderabad,Excess tobacco a waste: CM,0
21,20011026,city.lucknow,New train from Patna to Rajgir,0
22,20011027,city.lucknow,Senior citzens felicitated,0
23,20011103,city.bengaluru,Govt won't revamp Roerich trust now,0
24,20011110,city.ahmedabad,CM to lay stone for Maliya canal today,0
25,20011113,home.education,A wider reach,0
26,20011121,business.india-business,India gains from Doha: Maran,0
27,20011125,city.patna,Laloo let fraud go on intentionally: CBI,0
28,20011125,city.delhi,Complicated calculations,0
29,20011209,city.lucknow,IAS officer's wife suffers burns,0
30,20011218,city.chandigarh,Death of child fail to evoke authorities' reaction,0
31,20011219,city.hyderabad,Cityscan: 'Face-to-Face',0
32,20020101,unknown,Inconsistency Inc.,2
33,20020108,unknown,Bhattarai to undertake week-long visit to India,2
34,20020113,business.india-business,Case for a flat 20 per cent import duty,0
35,20020118,city.kolkata,Lost & found stories wash up the shores,0
36,20020121,entertainment.hindi.bollywood.news,Grace; beauty at Miss India finals,0
37,20020129,ahmedabad-times,A treasure house of manuscripts,0
38,20020203,city.mumbai,Saffron alliance faces tough competition from Cong: Survey,0
39,20020204,city.ahmedabad,Kamal Nath in state tomorrow,0
40,20020207,city.bengaluru,Sadashiva panel begins hearing on STF atrocities,0
41,20020211,hyderabad-times,Career in a coffee cup,0
42,20020212,cricket,Kirti Azad to meet BCCI chief Dalmiya tomorrow,0
43,20020226,city.delhi,Uneasy uncertainty in Lajpat Nagar,0
44,20020226,pune-times,A roar in the wild,0
